TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.33.2,BIT,200,600,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
SFC,SIEMENSS7,172.16.33.2,STRING,200,602,26,0,SFC,TEXT,0,999,FALSE,FALSE
Tighten the data[1].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,628,2,0,ResultOK1,NUMBER,0,999,FALSE,FALSE
Tighten the data[1].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,630,2,0,OrderNo1,NUMBER,0,999,FALSE,FALSE
Tighten the data[1].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,632,2,0,ProgramNo1,NUMBER,0,999,FALSE,FALSE
Tighten the data[1].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,634,4,0,TorqueResult1,NUMBER,0,999,TRUE,TRUE
Tighten the data[1].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,638,4,0,AngleResult1,NUMBER,0,999,TRUE,TRUE
Tighten the data[2].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,642,2,0,ResultOK2,NUMBER,0,999,FALSE,FALSE
Tighten the data[2].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,644,2,0,OrderNo2,NUMBER,0,999,FALSE,FALSE
Tighten the data[2].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,646,2,0,ProgramNo2,NUMBER,0,999,FALSE,FALSE
Tighten the data[2].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,648,4,0,TorqueResult2,NUMBER,0,999,TRUE,TRUE
Tighten the data[2].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,652,4,0,AngleResult2,NUMBER,0,999,TRUE,TRUE
Tighten the data[3].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,656,2,0,ResultOK3,NUMBER,0,999,FALSE,FALSE
Tighten the data[3].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,658,2,0,OrderNo3,NUMBER,0,999,FALSE,FALSE
Tighten the data[3].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,660,2,0,ProgramNo3,NUMBER,0,999,FALSE,FALSE
Tighten the data[3].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,662,4,0,TorqueResult3,NUMBER,0,999,TRUE,TRUE
Tighten the data[3].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,666,4,0,AngleResult3,NUMBER,0,999,TRUE,TRUE
Tighten the data[4].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,670,2,0,ResultOK4,NUMBER,0,999,FALSE,FALSE
Tighten the data[4].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,672,2,0,OrderNo4,NUMBER,0,999,FALSE,FALSE
Tighten the data[4].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,674,2,0,ProgramNo4,NUMBER,0,999,FALSE,FALSE
Tighten the data[4].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,676,4,0,TorqueResult4,NUMBER,0,999,TRUE,TRUE
Tighten the data[4].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,680,4,0,AngleResult4,NUMBER,0,999,TRUE,TRUE
Tighten the data[5].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,684,2,0,ResultOK5,NUMBER,0,999,FALSE,FALSE
Tighten the data[5].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,686,2,0,OrderNo5,NUMBER,0,999,FALSE,FALSE
Tighten the data[5].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,688,2,0,ProgramNo5,NUMBER,0,999,FALSE,FALSE
Tighten the data[5].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,690,4,0,TorqueResult5,NUMBER,0,999,TRUE,TRUE
Tighten the data[5].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,694,4,0,AngleResult5,NUMBER,0,999,TRUE,TRUE
Tighten the data[6].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,698,2,0,ResultOK6,NUMBER,0,999,FALSE,FALSE
Tighten the data[6].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,700,2,0,OrderNo6,NUMBER,0,999,FALSE,FALSE
Tighten the data[6].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,702,2,0,ProgramNo6,NUMBER,0,999,FALSE,FALSE
Tighten the data[6].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,704,4,0,TorqueResult6,NUMBER,0,999,TRUE,TRUE
Tighten the data[6].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,708,4,0,AngleResult6,NUMBER,0,999,TRUE,TRUE
Tighten the data[7].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,712,2,0,ResultOK7,NUMBER,0,999,FALSE,FALSE
Tighten the data[7].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,714,2,0,OrderNo7,NUMBER,0,999,FALSE,FALSE
Tighten the data[7].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,716,2,0,ProgramNo7,NUMBER,0,999,FALSE,FALSE
Tighten the data[7].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,718,4,0,TorqueResult7,NUMBER,0,999,TRUE,TRUE
Tighten the data[7].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,722,4,0,AngleResult7,NUMBER,0,999,TRUE,TRUE
Tighten the data[8].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,726,2,0,ResultOK8,NUMBER,0,999,FALSE,FALSE
Tighten the data[8].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,728,2,0,OrderNo8,NUMBER,0,999,FALSE,FALSE
Tighten the data[8].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,730,2,0,ProgramNo8,NUMBER,0,999,FALSE,FALSE
