TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.35.2,BIT,200,600,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
SFC,SIEMENSS7,172.16.35.2,STRING,200,602,26,0,SFC,TEXT,0,999,FALSE,FALSE
JRKSSJ,SIEMENSS7,172.16.35.2,DTL,200,628,12,0,JRKSSJ,TEXT,0,999,FALSE,FALSE
GCCS1,SIEMENSS7,172.16.35.2,FLOAT,200,640,4,0,GCCS1,NUMBER,0,999,FALSE,FALSE
GCCS2,SIEMENSS7,172.16.35.2,FLOAT,200,644,4,0,GCCS2,NUMBER,0,999,FALSE,FALSE
GCCS3,SIEMENSS7,172.16.35.2,FLOAT,200,648,4,0,GCCS3,NUMBER,0,999,FALSE,FALSE
GCCS4,SIEMENSS7,172.16.35.2,FLOAT,200,652,4,0,GCCS4,NUMBER,0,999,FALSE,FALSE
GCCS5,SIEMENSS7,172.16.35.2,FLOAT,200,656,4,0,GCCS5,NUMBER,0,999,FALSE,FALSE
GCCS6,SIEMENSS7,172.16.35.2,FLOAT,200,660,4,0,GCCS6,NUMBER,0,999,FALSE,FALSE
GCCS7,SIEMENSS7,172.16.35.2,FLOAT,200,664,4,0,GCCS7,NUMBER,0,999,FALSE,FALSE
GCCS8,SIEMENSS7,172.16.35.2,FLOAT,200,668,4,0,GCCS8,NUMBER,0,999,FALSE,FALSE
GCCS9,SIEMENSS7,172.16.35.2,FLOAT,200,672,4,0,GCCS9,NUMBER,0,999,FALSE,FALSE
GCCS10,SIEMENSS7,172.16.35.2,FLOAT,200,676,4,0,GCCS10,NUMBER,0,999,FALSE,FALSE
FinishSignal,SIEMENSS7,172.16.35.2,BIT,200,4502,1,0,FinishSignal,BOOLEAN,0,999,FALSE,FALSE
ResCode,SIEMENSS7,172.16.35.2,SHORT,200,4504,2,0,ResCode,NUMBER,0,999,FALSE,FALSE
