TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.35.2,BIT,200,500,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
SJSJSJ1,SIEMENSS7,172.16.35.2,FLOAT,200,502,4,0,SJSJSJ1,NUMBER,0,999,FALSE,FALSE
SJSJSJ2,SIEMENSS7,172.16.35.2,FLOAT,200,506,4,0,SJSJSJ2,NUMBER,0,999,FALSE,FALSE
SJSJSJ3,SIEMENSS7,172.16.35.2,FLOAT,200,510,4,0,SJSJSJ3,NUMBER,0,999,FALSE,FALSE
SJSJSJ4,SIEMENSS7,172.16.35.2,FLOAT,200,514,4,0,SJSJSJ4,NUMBER,0,999,FALSE,FALSE
SJSJSJ5,SIEMENSS7,172.16.35.2,FLOAT,200,518,4,0,SJSJSJ5,NUMBER,0,999,FALSE,FALSE
SJSJSJ6,SIEMENSS7,172.16.35.2,FLOAT,200,522,4,0,SJSJSJ6,NUMBER,0,999,FALSE,FALSE
SJSJSJ7,SIEMENSS7,172.16.35.2,FLOAT,200,526,4,0,SJSJSJ7,NUMBER,0,999,FALSE,FALSE
SJSJSJ8,SIEMENSS7,172.16.35.2,FLOAT,200,530,4,0,SJSJSJ8,NUMBER,0,999,FALSE,FALSE
SJSJSJ9,SIEMENSS7,172.16.35.2,FLOAT,200,534,4,0,SJSJSJ9,NUMBER,0,999,FALSE,FALSE
SJSJSJ10,SIEMENSS7,172.16.35.2,FLOAT,200,538,4,0,SJSJSJ10,NUMBER,0,999,FALSE,FALSE
FinishSignal,SIEMENSS7,172.16.35.2,BIT,200,4402,1,0,FinishSignal,BOOLEAN,0,999,FALSE,FALSE
ResCode,SIEMENSS7,172.16.35.2,SHORT,200,4404,2,0,ResCode,NUMBER,0,999,FALSE,FALSE
