TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.21.2,BIT,200,330,2,0,StartSignal,BOOLEAN,100,100,FALSE,FALSE
SFC,SIEMENSS7,172.16.21.2,STRING,200,332,24,0,SFC,STRING,10,500,TRUE,TRUE
FinishSignal,SIEMENSS7,172.16.21.2,BIT,200,3360,2,0,FinishSignal,BOOLEAN,100,100,FALSE,FALSE
ResCode,SIEMENSS7,172.16.21.2,SHORT,200,3362,2,0,ResCode,NUMBER,100,100,FALSE,FALSE
Year,SIEMENSS7,172.16.21.2,SHORT,200,3364,2,0,ResCode,NUMBER,100,100,FALSE,FALSE
Month,SIEMENSS7,172.16.21.2,SHORT,200,3366,2,0,ResCode,NUMBER,100,100,FALSE,FALSE
Day,SIEMENSS7,172.16.21.2,SHORT,200,3368,2,0,ResCode,NUMBER,100,100,FALSE,FALSE
Hour,SIEMENSS7,172.16.21.2,SHORT,200,3370,2,0,ResCode,NUMBER,100,100,FALSE,FALSE
Minute,SIEMENSS7,172.16.21.2,SHORT,200,3372,2,0,ResCode,NUMBER,100,100,FALSE,FALSE
Seconds,SIEMENSS7,172.16.21.2,SHORT,200,3374,2,0,ResCode,NUMBER,100,100,FALSE,FALSE
