TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.32.2,BIT,200,600,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
SFC,SIEMENSS7,172.16.32.2,STRING,200,602,26,0,SFC,TEXT,0,999,FALSE,FALSE
JRKSSJ,SIEMENSS7,172.16.32.2,DTL,200,628,12,0,JRKSSJ,TEXT,0,999,FALSE,FALSE
GCCS1,SIEMENSS7,172.16.32.2,FLOAT,200,640,4,0,GCCS1,NUMBER,0,999,TRUE,TRUE
GCCS2,SIEMENSS7,172.16.32.2,FLOAT,200,644,4,0,GCCS2,NUMBER,0,999,TRUE,TRUE
GCCS3,SIEMENSS7,172.16.32.2,FLOAT,200,648,4,0,GCCS3,NUMBER,0,999,TRUE,TRUE
GCCS4,SIEMENSS7,172.16.32.2,FLOAT,200,652,4,0,GCCS4,NUMBER,0,999,TRUE,TRUE
GCCS5,SIEMENSS7,172.16.32.2,FLOAT,200,656,4,0,GCCS5,NUMBER,0,999,TRUE,TRUE
GCCS6,SIEMENSS7,172.16.32.2,FLOAT,200,660,4,0,GCCS6,NUMBER,0,999,TRUE,TRUE
GCCS7,SIEMENSS7,172.16.32.2,FLOAT,200,664,4,0,GCCS7,NUMBER,0,999,TRUE,TRUE
GCCS8,SIEMENSS7,172.16.32.2,FLOAT,200,668,4,0,GCCS8,NUMBER,0,999,TRUE,TRUE
GCCS9,SIEMENSS7,172.16.32.2,FLOAT,200,672,4,0,GCCS9,NUMBER,0,999,TRUE,TRUE
GCCS10,SIEMENSS7,172.16.32.2,FLOAT,200,676,4,0,GCCS10,NUMBER,0,999,TRUE,TRUE
NJJG[1].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,680,2,0,NJJGResultOK1,NUMBER,0,999,FALSE,FALSE
NJJG[1].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,682,2,0,NJJGOrderNo1,NUMBER,0,999,FALSE,FALSE
NJJG[1].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,684,2,0,NJJGProgramNo1,NUMBER,0,999,FALSE,FALSE
NJJG[1].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,686,4,0,NJJGTorqueResult1,NUMBER,0,999,TRUE,TRUE
NJJG[1].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,690,4,0,NJJGAngleResult1,NUMBER,0,999,TRUE,TRUE
NJJG[2].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,694,2,0,NJJGResultOK2,NUMBER,0,999,FALSE,FALSE
