TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.30.2,BIT,200,620,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
SFC,SIEMENSS7,172.16.30.2,STRING,200,622,26,0,SFC,TEXT,0,999,FALSE,FALSE
JRKSSJ,SIEMENSS7,172.16.30.2,DTL,200,648,12,0,JRKSSJ,NUMBER,0,999,FALSE,FALSE
GCCS[0].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,660,4,0,AJLL0,NUMBER,0,999,TRUE,TRUE
GCCS[0].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,664,4,0,BJLL0,NUMBER,0,999,TRUE,TRUE
GCCS[0].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,668,4,0,ABJBL0,NUMBER,0,999,TRUE,TRUE
GCCS[0].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,672,4,0,JSZZL0,NUMBER,0,999,TRUE,TRUE
GCCS[1].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,676,4,0,AJLL1,NUMBER,0,999,TRUE,TRUE
GCCS[1].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,680,4,0,BJLL1,NUMBER,0,999,TRUE,TRUE
GCCS[1].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,684,4,0,ABJBL1,NUMBER,0,999,TRUE,TRUE
GCCS[1].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,688,4,0,JSZZL1,NUMBER,0,999,TRUE,TRUE
GCCS[2].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,692,4,0,AJLL2,NUMBER,0,999,TRUE,TRUE
GCCS[2].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,696,4,0,BJLL2,NUMBER,0,999,TRUE,TRUE
GCCS[2].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,700,4,0,ABJBL2,NUMBER,0,999,TRUE,TRUE
GCCS[2].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,704,4,0,JSZZL2,NUMBER,0,999,TRUE,TRUE
GCCS[3].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,708,4,0,AJLL3,NUMBER,0,999,TRUE,TRUE
GCCS[3].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,712,4,0,BJLL3,NUMBER,0,999,TRUE,TRUE
GCCS[3].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,716,4,0,ABJBL3,NUMBER,0,999,TRUE,TRUE
GCCS[3].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,720,4,0,JSZZL3,NUMBER,0,999,TRUE,TRUE
GCCS[4].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,724,4,0,AJLL4,NUMBER,0,999,TRUE,TRUE
GCCS[4].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,728,4,0,BJLL4,NUMBER,0,999,TRUE,TRUE
GCCS[4].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,732,4,0,ABJBL4,NUMBER,0,999,TRUE,TRUE
GCCS[4].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,736,4,0,JSZZL4,NUMBER,0,999,TRUE,TRUE
GCCS[5].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,740,4,0,AJLL5,NUMBER,0,999,TRUE,TRUE
GCCS[5].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,744,4,0,BJLL5,NUMBER,0,999,TRUE,TRUE
GCCS[5].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,748,4,0,ABJBL5,NUMBER,0,999,TRUE,TRUE
GCCS[5].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,752,4,0,JSZZL5,NUMBER,0,999,TRUE,TRUE
GCCS[6].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,756,4,0,AJLL6,NUMBER,0,999,TRUE,TRUE
GCCS[6].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,760,4,0,BJLL6,NUMBER,0,999,TRUE,TRUE
GCCS[6].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,764,4,0,ABJBL6,NUMBER,0,999,TRUE,TRUE
GCCS[6].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,768,4,0,JSZZL6,NUMBER,0,999,TRUE,TRUE
GCCS[7].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,772,4,0,AJLL7,NUMBER,0,999,TRUE,TRUE
GCCS[7].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,776,4,0,BJLL7,NUMBER,0,999,TRUE,TRUE
GCCS[7].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,780,4,0,ABJBL7,NUMBER,0,999,TRUE,TRUE
GCCS[7].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,784,4,0,JSZZL7,NUMBER,0,999,TRUE,TRUE
GCCS[8].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,788,4,0,AJLL8,NUMBER,0,999,TRUE,TRUE
GCCS[8].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,792,4,0,BJLL8,NUMBER,0,999,TRUE,TRUE
GCCS[8].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,796,4,0,ABJBL8,NUMBER,0,999,TRUE,TRUE
GCCS[8].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,800,4,0,JSZZL8,NUMBER,0,999,TRUE,TRUE
GCCS[9].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,804,4,0,AJLL9,NUMBER,0,999,TRUE,TRUE
GCCS[9].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,808,4,0,BJLL9,NUMBER,0,999,TRUE,TRUE
GCCS[9].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,812,4,0,ABJBL9,NUMBER,0,999,TRUE,TRUE
GCCS[9].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,816,4,0,JSZZL9,NUMBER,0,999,TRUE,TRUE
GCCS[10].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,820,4,0,AJLL10,NUMBER,0,999,TRUE,TRUE
GCCS[10].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,824,4,0,BJLL10,NUMBER,0,999,TRUE,TRUE
GCCS[10].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,828,4,0,ABJBL10,NUMBER,0,999,TRUE,TRUE
GCCS[10].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,832,4,0,JSZZL10,NUMBER,0,999,TRUE,TRUE
GCCS[11].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,836,4,0,AJLL11,NUMBER,0,999,TRUE,TRUE
GCCS[11].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,840,4,0,BJLL11,NUMBER,0,999,TRUE,TRUE
GCCS[11].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,844,4,0,ABJBL11,NUMBER,0,999,TRUE,TRUE
GCCS[11].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,848,4,0,JSZZL11,NUMBER,0,999,TRUE,TRUE
GCCS[12].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,852,4,0,AJLL12,NUMBER,0,999,TRUE,TRUE
GCCS[12].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,856,4,0,BJLL12,NUMBER,0,999,TRUE,TRUE
GCCS[12].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,860,4,0,ABJBL12,NUMBER,0,999,TRUE,TRUE
GCCS[12].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,864,4,0,JSZZL12,NUMBER,0,999,TRUE,TRUE
GCCS[13].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,868,4,0,AJLL13,NUMBER,0,999,TRUE,TRUE
GCCS[13].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,872,4,0,BJLL13,NUMBER,0,999,TRUE,TRUE
GCCS[13].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,876,4,0,ABJBL13,NUMBER,0,999,TRUE,TRUE
GCCS[13].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,880,4,0,JSZZL13,NUMBER,0,999,TRUE,TRUE
GCCS[14].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,884,4,0,AJLL14,NUMBER,0,999,TRUE,TRUE
GCCS[14].GlueB,SIEMENSS7,172.16.30.2,FLOAT,200,888,4,0,BJLL14,NUMBER,0,999,TRUE,TRUE
GCCS[14].GlueProportion,SIEMENSS7,172.16.30.2,FLOAT,200,892,4,0,ABJBL14,NUMBER,0,999,TRUE,TRUE
GCCS[14].GlueTotal,SIEMENSS7,172.16.30.2,FLOAT,200,896,4,0,JSZZL14,NUMBER,0,999,TRUE,TRUE
GCCS[15].GlueA,SIEMENSS7,172.16.30.2,FLOAT,200,900,4,0,AJLL15,NUMBER,0,999,TRUE,TRUE
