TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.30.2,BIT,200,500,1,0,StartSignal,BOOLEAN,0,999,FALSE,FALSE
SJSJSJ0,SIEMENSS7,172.16.30.2,FLOAT,200,502,4,0,SJSJSJ0,NUMBER,0,999,FALSE,TRUE
SJSJSJ1,SIEMENSS7,172.16.30.2,FLOAT,200,506,4,0,SJSJSJ1,NUMBER,0,999,FALSE,TRUE
SJSJSJ2,SIEMENSS7,172.16.30.2,FLOAT,200,510,4,0,SJSJSJ2,NUMBER,0,999,FALSE,TRUE
SJSJSJ3,SIEMENSS7,172.16.30.2,FLOAT,200,514,4,0,SJSJSJ3,NUMBER,0,999,FALSE,TRUE
SJSJSJ4,SIEMENSS7,172.16.30.2,FLOAT,200,518,4,0,SJSJSJ4,NUMBER,0,999,FALSE,TRUE
SJSJSJ5,SIEMENSS7,172.16.30.2,FLOAT,200,522,4,0,SJSJSJ5,NUMBER,0,999,FALSE,TRUE
SJSJSJ6,SIEMENSS7,172.16.30.2,FLOAT,200,526,4,0,SJSJSJ6,NUMBER,0,999,FALSE,TRUE
SJSJSJ7,SIEMENSS7,172.16.30.2,FLOAT,200,530,4,0,SJSJSJ7,NUMBER,0,999,FALSE,TRUE
SJSJSJ8,SIEMENSS7,172.16.30.2,FLOAT,200,534,4,0,SJSJSJ8,NUMBER,0,999,FALSE,TRUE
SJSJSJ9,SIEMENSS7,172.16.30.2,FLOAT,200,538,4,0,SJSJSJ9,NUMBER,0,999,FALSE,TRUE
SJSJSJ10,SIEMENSS7,172.16.30.2,FLOAT,200,542,4,0,SJSJSJ10,NUMBER,0,999,FALSE,TRUE
SJSJSJ11,SIEMENSS7,172.16.30.2,FLOAT,200,546,4,0,SJSJSJ11,NUMBER,0,999,FALSE,TRUE
SJSJSJ12,SIEMENSS7,172.16.30.2,FLOAT,200,550,4,0,SJSJSJ12,NUMBER,0,999,FALSE,TRUE
SJSJSJ13,SIEMENSS7,172.16.30.2,FLOAT,200,554,4,0,SJSJSJ13,NUMBER,0,999,FALSE,TRUE
SJSJSJ14,SIEMENSS7,172.16.30.2,FLOAT,200,558,4,0,SJSJSJ14,NUMBER,0,999,FALSE,TRUE
SJSJSJ15,SIEMENSS7,172.16.30.2,FLOAT,200,562,4,0,SJSJSJ15,NUMBER,0,999,FALSE,TRUE
SJSJSJ16,SIEMENSS7,172.16.30.2,FLOAT,200,566,4,0,SJSJSJ16,NUMBER,0,999,FALSE,TRUE
SJSJSJ17,SIEMENSS7,172.16.30.2,FLOAT,200,570,4,0,SJSJSJ17,NUMBER,0,999,FALSE,TRUE
SJSJSJ18,SIEMENSS7,172.16.30.2,FLOAT,200,574,4,0,SJSJSJ18,NUMBER,0,999,FALSE,TRUE
SJSJSJ19,SIEMENSS7,172.16.30.2,FLOAT,200,578,4,0,SJSJSJ19,NUMBER,0,999,FALSE,TRUE
SJSJSJ20,SIEMENSS7,172.16.30.2,FLOAT,200,582,4,0,SJSJSJ20,NUMBER,0,999,FALSE,TRUE
FinishSignal,SIEMENSS7,172.16.30.2,BIT,200,4402,1,0,FinishSignal,BOOLEAN,0,999,FALSE,FALSE
ResCode,SIEMENSS7,172.16.30.2,SHORT,200,4404,2,0,ResCode,NUMBER,0,999,FALSE,FALSE
